actor,control_action_types,episode_id,events_tail_json,extra_mortal_action_ids_json,hand_json,iteration,last_discard_json,legal_action_count,legal_action_keys_json,legal_action_types_json,mismatch_kind,missing_legal_keys_json,missing_legal_types_json,mortal_mask_true_ids_json,pilot_config_id,replay_hint,rollout_seed,source_action_ids_json,step_index,torch_seed
1,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",55813aa6,[],[42],"""""",0,"""""",9,"[""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0"",""0|tile=27|consumed=|from=-1|flags=1"",""0|tile=31|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[5,7,13,19,25,26,27,31,35,42]",0,,202604330000,"[[19],[13,35],[13,35],[5],[7],[25],[26],[27],[31]]",128,202604330000
3,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",55813aa6,[],[42],"""""",0,"""""",8,"[""0|tile=3|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=1""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[3,6,7,15,17,24,26,32,42]",0,,202604330000,"[[3],[6],[15],[24],[7],[17],[26],[32]]",200,202604330000
2,"PASS,RON,PON,CHI",319410c0,[],[42],"""""",0,"""""",2,"[""5|tile=17|consumed=17,17|from=3|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",192,202604330000
2,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",319410c0,[],[42],"""""",0,"""""",9,"[""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=1"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[6,14,15,16,17,21,23,24,25,42]",0,,202604330000,"[[21],[14],[23],[6],[15],[24],[16],[25],[17]]",209,202604330000
2,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",319410c0,[],[42],"""""",0,"""""",9,"[""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=1"",""0|tile=17|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[6,8,14,15,16,17,23,24,25,42]",0,,202604330000,"[[14],[23],[6],[15],[24],[16],[25],[8],[17]]",225,202604330000
2,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",319410c0,[],[42],"""""",0,"""""",10,"[""0|tile=19|consumed=|from=-1|flags=1"",""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[6,8,14,15,16,17,19,23,24,25,42]",0,,202604330000,"[[19],[14],[23],[6],[15],[24],[16],[25],[8],[17]]",241,202604330000
2,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",319410c0,[],[42],"""""",0,"""""",10,"[""0|tile=1|consumed=|from=-1|flags=1"",""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[1,6,8,14,15,16,17,23,24,25,42]",0,,202604330000,"[[1],[14],[23],[6],[15],[24],[16],[25],[8],[17]]",257,202604330000
2,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",319410c0,[],[42],"""""",0,"""""",10,"[""0|tile=1|consumed=|from=-1|flags=0"",""0|tile=11|consumed=|from=-1|flags=1"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[1,6,8,11,15,16,17,23,24,25,42]",0,,202604330000,"[[1],[11],[23],[6],[15],[24],[16],[25],[8],[17]]",273,202604330000
2,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",319410c0,[],[42],"""""",0,"""""",10,"[""0|tile=11|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0"",""0|tile=30|consumed=|from=-1|flags=1""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[6,8,11,15,16,17,23,24,25,30,42]",0,,202604330000,"[[11],[23],[6],[15],[24],[16],[25],[8],[17],[30]]",289,202604330000
3,"PASS,RON,PON,CHI",cb97d74b,[],[42],"""""",0,"""""",2,"[""5|tile=23|consumed=23,23|from=2|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",89,202604330000
